,auc,objective,metric,learning_rate,num_leaves,min_child_weight,feature_fraction,bagging_fraction,bagging_freq,max_depth,max_bin,lambda_l1,lambda_l2,min_data_in_bin,min_gain_to_split,min_data_in_leaf,is_unbalance
195,0.894561456,binary,auc,0.05,20,1,0.3,0.7,5,-1,50,5,1.33,30,0.1,30,TRUE
196,0.894558886,binary,auc,0.05,20,5,0.3,0.5,1,-1,50,0,3,30,0.1,30,TRUE
197,0.894542416,binary,auc,0.05,20,1,0.7,0.5,5,-1,50,0,3,30,0.001,30,TRUE
198,0.894537458,binary,auc,0.05,20,1,0.3,0.7,1,-1,50,5,1.33,30,0.1,30,TRUE
199,0.894523991,binary,auc,0.05,20,1,0.3,0.7,5,-1,50,5,1.33,30,0.001,30,TRUE
200,0.894456854,binary,auc,0.05,20,5,0.7,0.5,1,-1,50,0,0,30,0.001,30,TRUE
201,0.894413283,binary,auc,0.05,20,1,0.3,0.7,1,-1,50,5,3,30,0.1,30,TRUE
202,0.894407514,binary,auc,0.05,20,5,0.7,0.5,5,-1,50,5,0,30,0.001,30,TRUE
203,0.89439618,binary,auc,0.05,20,5,0.7,0.5,1,-1,50,0,0,30,0.1,30,TRUE
204,0.894391442,binary,auc,0.05,20,5,0.3,0.5,5,-1,50,5,1.33,30,0.001,30,TRUE
205,0.894372454,binary,auc,0.05,20,5,0.7,0.7,5,-1,50,5,0,30,0.001,30,TRUE
206,0.89436406,binary,auc,0.05,20,5,0.7,0.7,5,-1,50,5,0,30,0.1,30,TRUE
207,0.894361118,binary,auc,0.05,20,1,0.3,0.7,1,-1,50,5,3,30,0.001,30,TRUE
208,0.894329679,binary,auc,0.05,20,5,0.7,0.5,5,-1,50,5,0,30,0.1,30,TRUE
209,0.894260587,binary,auc,0.05,20,5,0.7,0.5,1,-1,50,5,0,30,0.001,30,TRUE
210,0.894147248,binary,auc,0.05,20,5,0.3,0.5,1,-1,50,5,1.33,30,0.001,30,TRUE
211,0.894128651,binary,auc,0.05,20,5,0.3,0.5,5,-1,50,5,1.33,30,0.1,30,TRUE
212,0.894060671,binary,auc,0.05,20,5,0.3,0.7,1,-1,50,0,0,30,0.1,30,TRUE
213,0.894029628,binary,auc,0.05,20,5,0.3,0.7,5,-1,50,5,1.33,30,0.001,30,TRUE
214,0.893999466,binary,auc,0.05,20,5,0.3,0.7,1,-1,50,0,1.33,30,0.001,30,TRUE
215,0.893967853,binary,auc,0.05,20,5,0.3,0.5,1,-1,50,5,1.33,30,0.1,30,TRUE
216,0.89395317,binary,auc,0.05,20,5,0.7,0.5,1,-1,50,5,0,30,0.1,30,TRUE
217,0.893937938,binary,auc,0.05,20,5,0.3,0.5,1,-1,50,5,3,30,0.001,30,TRUE
218,0.893935165,binary,auc,0.05,20,5,0.3,0.5,1,-1,50,5,3,30,0.1,30,TRUE
219,0.89392523,binary,auc,0.05,20,5,0.3,0.7,1,-1,50,5,0,30,0.001,30,TRUE
220,0.893915377,binary,auc,0.05,20,5,0.3,0.7,1,-1,50,5,0,30,0.1,30,TRUE
221,0.893903698,binary,auc,0.05,20,5,0.3,0.7,5,-1,50,0,1.33,30,0.001,30,TRUE
222,0.89389079,binary,auc,0.05,20,5,0.3,0.5,1,-1,50,0,3,30,0.001,30,TRUE
223,0.893875916,binary,auc,0.05,20,1,0.3,0.7,5,-1,50,5,0,30,0.1,30,TRUE
224,0.893829158,binary,auc,0.05,20,1,0.3,0.7,5,-1,50,5,0,30,0.001,30,TRUE
225,0.89370743,binary,auc,0.05,20,5,0.3,0.5,5,-1,50,0,1.33,30,0.001,30,TRUE
226,0.893702843,binary,auc,0.05,20,5,0.3,0.7,1,-1,50,0,1.33,30,0.1,30,TRUE
227,0.893650476,binary,auc,0.05,20,5,0.3,0.5,1,-1,50,0,1.33,30,0.001,30,TRUE
228,0.893635016,binary,auc,0.05,20,1,0.3,0.5,5,-1,50,5,3,30,0.1,30,TRUE
229,0.89353098,binary,auc,0.05,20,5,0.3,0.5,5,-1,50,5,3,30,0.1,30,TRUE
